name,price,url
Pistachio & Cranberry,"<span class=""price"">
              <span class=""visually-hidden"">Sale price£5.00",/products/pistachio-cranberry-chocolate-bar
Praline Quail Eggs,£4.50,/products/praline-quail-eggs
Pretzel Caramel,"<span class=""price"">
              <span class=""visually-hidden"">Sale price£5.00",/products/pretzel-caramel-chocolate-bar
Roasted Almonds,£4.50,/products/cocoa-dusted-almonds
Salt Caramel Malt Balls,"<span class=""price"">
              <span class=""visually-hidden"">Sale price£9.00",/products/salt-caramel-malt-balls
Salt Caramelised Hazelnuts,£4.50,/products/salt-caramelised-hazelnuts
Salted Caramel,"<span class=""price"">
              <span class=""visually-hidden"">Sale price£5.00",/products/blonde-chocolate-sea-salt
Salted Caramel Florentines,"<span class=""price"">
              <span class=""visually-hidden"">Sale price£11.50",/products/salted-caramel-florentines
Salted Caramel Quail Eggs,£5.00,/products/salted-caramel-quail-eggs
Salted Caramels Blonde Chocolate,"<span class=""price"">
              <span class=""visually-hidden"">Sale price£19.95",/products/salted-caramels-blonde-chocolate
Salted Caramels Dark Chocolate,"<span class=""price"">
              <span class=""visually-hidden"">Sale price£19.95",/products/salt-caramels-dark-chocolate
Salted Caramels Milk Chocolate,"<span class=""price"">
              <span class=""visually-hidden"">Sale price£19.95",/products/salt-caramels-milk-chocolate
Valrhona Araguani - 72%,"<span class=""price"">
              <span class=""visually-hidden"">Sale price£77.50",/products/valrhona-araguani-72
Valrhona Bahibe 46%,"<span class=""price"">
              <span class=""visually-hidden"">Sale price£75.00",/products/valrhona-bahibe
Valrhona Biskelia 34%,"<span class=""price"">
              <span class=""visually-hidden"">Sale price£75.00",/products/valrhona-biskelia-34
Valrhona Caraibe 66%,"<span class=""price"">
              <span class=""visually-hidden"">Sale price£75.00",/products/valrhona-caraibe-66
Valrhona Caramelia 36%,"<span class=""price"">
              <span class=""visually-hidden"">Sale price£75.00",/products/valrhona-caramelia-36
Valrhona Dulcey 32%,"<span class=""price"">
              <span class=""visually-hidden"">Sale price£77.50",/products/valrhona-dulcey-32
Valrhona Guanaja 70%,"<span class=""price"">
              <span class=""visually-hidden"">Sale price£75.00",/products/valrhona-guanaja-70
Valrhona Jivara 40%,"<span class=""price"">
              <span class=""visually-hidden"">Sale price£75.00",/products/valrhona-jivara-40
Valrhona Manjari 64%,"<span class=""price"">
              <span class=""visually-hidden"">Sale price£75.00",/products/valrhona-manjari-64
Valrhona Opalys 33%,"<span class=""price"">
              <span class=""visually-hidden"">Sale price£75.00",/products/valrhona-opalys-33
Velvet White,£2.50,/products/velvet-white-chocolate-bar
